name,kegg,uniprot,sgd,entrez
YKR026C,sce:YKR026C,EI2BA_YEAST,S000001734,853896
YGL122C,sce:YGL122C,NAB2_YEAST,S000003090,852755
YGR218W,sce:YGR218W,XPO1_YEAST,S000003450,853133
YGL097W,sce:YGL097W,RCC1_YEAST,S000003065,852782
YOR204W,sce:YOR204W,DED1_YEAST,S000005730,854379
YLR249W,sce:YLR249W,EF3A_YEAST,S000004239,850951
YPR080W,sce:YPR080W,EF1A_YEAST,S000000322,852415
YPR080W,sce:YPR080W,EF1A_YEAST,S000000322,856195
YPR080W,sce:YPR080W,EF1A_YEAST,S000006284,852415
YPR080W,sce:YPR080W,EF1A_YEAST,S000006284,856195
YBR118W,sce:YBR118W,EF1A_YEAST,S000000322,852415
YBR118W,sce:YBR118W,EF1A_YEAST,S000000322,856195
YBR118W,sce:YBR118W,EF1A_YEAST,S000006284,852415
YBR118W,sce:YBR118W,EF1A_YEAST,S000006284,856195
YLR293C,sce:YLR293C,GSP1_YEAST,S000004284,851000
YMR146C,sce:YMR146C,EIF3I_YEAST,S000004754,855177
YDR429C,sce:YDR429C,EIF3G_YEAST,S000002837,852039
YFL017C,sce:YFL017C,GNA1_YEAST,S000001877,850529
YAL003W,sce:YAL003W,EF1B_YEAST,S000000003,851260
YOL123W,sce:YOL123W,HRP1_YEAST,S000005483,853997
YGL044C,sce:YGL044C,RNA15_YEAST,S000003012,852838
YPL211W,sce:YPL211W,NIP7_YEAST,S000006132,855890
YGR014W,sce:YGR014W,MSB2_YEAST,S000003246,852897
YJL030W,sce:YJL030W,MAD2_YEAST,S000003567,853422
YGL229C,sce:YGL229C,SAP4_YEAST,S000003198,852622
YJL013C,sce:YJL013C,MAD3_YEAST,S000003550,853439
YGR203W,sce:YGR203W,YCH1_YEAST,S000003435,853117
YIL061C,sce:YIL061C,RU17_YEAST,S000001323,854749
YCR084C,sce:YCR084C,TUP1_YEAST,S000000680,850445
YBR112C,sce:YBR112C,CYC8_YEAST,S000000316,852410
YCL067C,sce:YCL067C,HMAL2_YEAST,S000000572,850292
YCL067C,sce:YCL067C,HMAL2_YEAST,S000000572,850406
YCL067C,sce:YCL067C,MTAL2_YEAST,S000000635,850292
YCL067C,sce:YCL067C,MTAL2_YEAST,S000000635,850406
YER112W,sce:YER112W,LSM4_YEAST,S000000914,856848
YOR167C,sce:YOR167C,RS28A_YEAST,S000005693,854338
YJR022W,sce:YJR022W,LSM8_YEAST,S000003783,853479
YNR050C,sce:YNR050C,LYS9_YEAST,S000005333,855786
YNL050C,sce:YNL050C,YNF0_YEAST,S000004995,855677
YEL015W,sce:YEL015W,EDC3_YEAST,S000000741,856700
YLR264W,sce:YLR264W,RS28B_YEAST,S000004254,850969
YNR053C,sce:YNR053C,NOG2_YEAST,S000005336,855789
YER116C,sce:YER116C,SLX8_YEAST,S000000918,856852
YDL013W,sce:YDL013W,SLX5_YEAST,S000002171,851549
YNL307C,sce:YNL307C,MCK1_YEAST,S000005251,855409
YAL038W,sce:YAL038W,KPYK1_YEAST,S000000036,851193
YNL216W,sce:YNL216W,RAP1_YEAST,S000005160,855505
YCR012W,sce:YCR012W,PGK_YEAST,S000000605,850370
YGR254W,sce:YGR254W,ENO1_YEAST,S000003486,853169
YHR174W,sce:YHR174W,ENO2_YEAST,S000001217,856579
YIL133C,sce:YIL133C,RL16A_YEAST,S000001395,854673
YLR044C,sce:YLR044C,PDC1_YEAST,S000004034,850733
YOL120C,sce:YOL120C,RL18A_YEAST,S000005480,854029
YOL120C,sce:YOL120C,RL18A_YEAST,S000005480,855415
YNL301C,sce:YNL301C,RL18A_YEAST,S000005480,854029
YNL301C,sce:YNL301C,RL18A_YEAST,S000005480,855415
YOL120C,sce:YOL120C,RL18B_YEAST,S000005245,854029
YOL120C,sce:YOL120C,RL18B_YEAST,S000005245,855415
YNL301C,sce:YNL301C,RL18B_YEAST,S000005245,854029
YNL301C,sce:YNL301C,RL18B_YEAST,S000005245,855415
YCL030C,sce:YCL030C,HIS2_YEAST,S000000535,850327
YDR171W,sce:YDR171W,HSP42_YEAST,S000002578,851751
YBR093C,sce:YBR093C,PPA5_YEAST,S000000297,852390
YER074W,sce:YER074W,RS24A_YEAST,S000000876,854741
YER074W,sce:YER074W,RS24A_YEAST,S000000876,856805
YIL069C,sce:YIL069C,RS24A_YEAST,S000000876,854741
YIL069C,sce:YIL069C,RS24A_YEAST,S000000876,856805
YER074W,sce:YER074W,RS24B_YEAST,S000001331,854741
YER074W,sce:YER074W,RS24B_YEAST,S000001331,856805
YIL069C,sce:YIL069C,RS24B_YEAST,S000001331,854741
YIL069C,sce:YIL069C,RS24B_YEAST,S000001331,856805
YOL127W,sce:YOL127W,RL25_YEAST,S000005487,853993
YDR050C,sce:YDR050C,TPIS_YEAST,S000002457,851620
YOL086C,sce:YOL086C,ADH1_YEAST,S000005446,854068
YAL030W,sce:YAL030W,SNC1_YEAST,S000000028,851203
YER143W,sce:YER143W,DDI1_YEAST,S000000945,856886
YOR327C,sce:YOR327C,SNC2_YEAST,S000005854,854505
YER062C,sce:YER062C,GPP2_YEAST,S000000864,856791
YPL201C,sce:YPL201C,YIG1_YEAST,S000006122,855900
YDR412W,sce:YDR412W,RRP17_YEAST,S000002820,852021
YCR086W,sce:YCR086W,CSM1_YEAST,S000000682,850447
YGL013C,sce:YGL013C,PDR1_YEAST,S000002981,852871
YLR117C,sce:YLR117C,CLF1_YEAST,S000004107,850808
YPR119W,sce:YPR119W,CG22_YEAST,S000006323,856236
YDL014W,sce:YDL014W,FBRL_YEAST,S000002172,851548
YOR310C,sce:YOR310C,NOP58_YEAST,S000005837,854487
YER179W,sce:YER179W,DMC1_YEAST,S000000981,856926
YLR134W,sce:YLR134W,PDC5_YEAST,S000004124,850825
YIL105C,sce:YIL105C,SLM1_YEAST,S000001367,854701
YOR361C,sce:YOR361C,EIF3B_YEAST,S000005888,854543
YMR309C,sce:YMR309C,EIF3C_YEAST,S000004926,855357
YOR326W,sce:YOR326W,MYO2_YEAST,S000005853,854504
YGL106W,sce:YGL106W,MLC1_YEAST,S000003074,852772
YMR186W,sce:YMR186W,HSC82_YEAST,S000004798,855224
YBR155W,sce:YBR155W,CNS1_YEAST,S000000359,852452
YEL009C,sce:YEL009C,GCN4_YEAST,S000000735,856709
YMR108W,sce:YMR108W,ILVB_YEAST,S000004714,855135
YOR202W,sce:YOR202W,HIS7_YEAST,S000005728,854377
YBR248C,sce:YBR248C,HIS5_YEAST,S000000452,852550
YOL058W,sce:YOL058W,ASSY_YEAST,S000005419,854096
YMR300C,sce:YMR300C,PUR1_YEAST,S000004915,855346
YMR138W,sce:YMR138W,CIN4_YEAST,S000004746,855169
YHR141C,sce:YHR141C,RL44A_YEAST,S000005106,855560
YHR141C,sce:YHR141C,RL44A_YEAST,S000005106,856544
YHR141C,sce:YHR141C,RL44B_YEAST,S000001183,855560
YHR141C,sce:YHR141C,RL44B_YEAST,S000001183,856544
YLR109W,sce:YLR109W,AHP1_YEAST,S000004099,850799
YCL032W,sce:YCL032W,STE50_YEAST,S000000537,850325
YDR032C,sce:YDR032C,PST2_YEAST,S000002439,851596
YLR362W,sce:YLR362W,STE11_YEAST,S000004354,851076
YDR103W,sce:YDR103W,STE5_YEAST,S000002510,851680
YJR060W,sce:YJR060W,CBF1_YEAST,S000003821,853523
YBR019C,sce:YBR019C,GAL10_YEAST,S000000223,852307
YOL051W,sce:YOL051W,MED15_YEAST,S000005411,854106
YGL035C,sce:YGL035C,MIG1_YEAST,S000003003,852848
YBR020W,sce:YBR020W,GAL1_YEAST,S000000224,852308
YLR081W,sce:YLR081W,GAL2_YEAST,S000004071,850770
YPL248C,sce:YPL248C,GAL4_YEAST,S000006169,855828
YBR018C,sce:YBR018C,GAL7_YEAST,S000000222,852306
YIR009W,sce:YIR009W,MSL1_YEAST,S000001448,854826
YKR099W,sce:YKR099W,BAS1_YEAST,S000001807,853974
YIL143C,sce:YIL143C,RAD25_YEAST,S000001405,854663
YDR184C,sce:YDR184C,LIC4_YEAST,S000002592,851765
YNL091W,sce:YNL091W,NST1_YEAST,S000005035,855633
YNL236W,sce:YNL236W,MED16_YEAST,S000005180,855485
YKL012W,sce:YKL012W,PRP40_YEAST,S000001495,853857
YML032C,sce:YML032C,RAD52_YEAST,S000004494,854976
YNL312W,sce:YNL312W,RFA2_YEAST,S000005256,855404
YLR116W,sce:YLR116W,BBP_YEAST,S000004106,850807
YOR264W,sce:YOR264W,DSE3_YEAST,S000005790,854437
YDR309C,sce:YDR309C,GIC2_YEAST,S000002717,851904
YLR229C,sce:YLR229C,CDC42_YEAST,S000004219,850930
YGR058W,sce:YGR058W,PEF1_YEAST,S000003290,852949
YJR109C,sce:YJR109C,CARB_YEAST,S000003870,853573
YOR303W,sce:YOR303W,CARA_YEAST,S000005829,854479
YLR256W,sce:YLR256W,HAP1_YEAST,S000004246,850958
YML054C,sce:YML054C,CYB2_YEAST,S000004518,854950
YJR048W,sce:YJR048W,CYC1_YEAST,S000003809,853507
YEL039C,sce:YEL039C,CYC7_YEAST,S000000765,856672
YGL237C,sce:YGL237C,HAP2_YEAST,S000003206,852614
YBL021C,sce:YBL021C,HAP3_YEAST,S000000117,852260
YDR311W,sce:YDR311W,TFB1_YEAST,S000002719,851906
YKL028W,sce:YKL028W,T2EA_YEAST,S000001511,853840
YPL149W,sce:YPL149W,ATG5_YEAST,S000006070,855954
YHR171W,sce:YHR171W,ATG7_YEAST,S000001214,856576
YBR217W,sce:YBR217W,ATG12_YEAST,S000000421,852518
YKL109W,sce:YKL109W,HAP4_YEAST,S000001592,853751
YMR043W,sce:YMR043W,MCM1_YEAST,S000004646,855060
YIL015W,sce:YIL015W,BAR1_YEAST,S000001277,854797
YJL159W,sce:YJL159W,HS150_YEAST,S000003695,853281
YKR097W,sce:YKR097W,PCKA_YEAST,S000001805,853972
YGR108W,sce:YGR108W,CG21_YEAST,S000003340,853002
YDR461W,sce:YDR461W,MFA1_YEAST,S000002869,852072
YNL145W,sce:YNL145W,MFA2_YEAST,S000005089,855577
YJL157C,sce:YJL157C,FAR1_YEAST,S000003693,853283
YFL026W,sce:YFL026W,STE2_YEAST,S000001868,850518
YNR007C,sce:YNR007C,ATG3_YEAST,S000005290,855741
YJL203W,sce:YJL203W,PRP21_YEAST,S000003739,853227
YOL136C,sce:YOL136C,6P22_YEAST,S000005496,853984
YLL021W,sce:YLL021W,SPA2_YEAST,S000003944,850639
YJL219W,sce:YJL219W,HXT9_YEAST,S000003755,853236
YOL156W,sce:YOL156W,HXT11_YEAST,S000005516,854009
YKL101W,sce:YKL101W,HSL1_YEAST,S000001584,853760
YBR160W,sce:YBR160W,CDK1_YEAST,S000000364,852457
YBL005W,sce:YBL005W,PDR3_YEAST,S000000101,852278
YDR323C,sce:YDR323C,PEP7_YEAST,S000002731,851923
YOR036W,sce:YOR036W,PEP12_YEAST,S000005562,854201
YGL008C,sce:YGL008C,PMA1_YEAST,S000002976,852876
YER040W,sce:YER040W,GLN3_YEAST,S000000842,856763
YPR035W,sce:YPR035W,GLNA_YEAST,S000006239,856147
YGR019W,sce:YGR019W,GABAT_YEAST,S000003251,852902
YNL098C,sce:YNL098C,RAS2_YEAST,S000005042,855625
YLR310C,sce:YLR310C,CDC25_YEAST,S000004301,851019
YGL115W,sce:YGL115W,AAKG_YEAST,S000003083,852763
YGL208W,sce:YGL208W,SIP2_YEAST,S000003176,852664
YPL089C,sce:YPL089C,RLM1_YEAST,S000006010,856016
YHR030C,sce:YHR030C,SLT2_YEAST,S000001072,856425
YJL089W,sce:YJL089W,SIP4_YEAST,S000003625,853356
YER065C,sce:YER065C,ACEA_YEAST,S000000867,856794
YLR377C,sce:YLR377C,F16P_YEAST,S000004369,851092
YMR021C,sce:YMR021C,MAC1_YEAST,S000004623,855035
YLR214W,sce:YLR214W,FRE1_YEAST,S000004204,850911
YDR335W,sce:YDR335W,MSN5_YEAST,S000002743,851935
YDR174W,sce:YDR174W,HMO1_YEAST,S000002581,851754
YLL028W,sce:YLL028W,TPO1_YEAST,S000003951,850631
YGL166W,sce:YGL166W,CUP2_YEAST,S000003134,852710
YDL081C,sce:YDL081C,RLA1_YEAST,S000002239,851478
YLR340W,sce:YLR340W,RLA0_YEAST,S000004332,851052
YKL074C,sce:YKL074C,MUD2_YEAST,S000001557,853788
YML064C,sce:YML064C,TEM1_YEAST,S000004529,854938
YHR135C,sce:YHR135C,KC11_YEAST,S000001177,856537
YNL116W,sce:YNL116W,DMA2_YEAST,S000005060,855607
YNL047C,sce:YNL047C,SLM2_YEAST,S000004992,855680
YNL154C,sce:YNL154C,KC12_YEAST,S000005098,855568
YKL204W,sce:YKL204W,EAP1_YEAST,S000001687,853631
YJR066W,sce:YJR066W,TOR1_YEAST,S000003827,853529
YDR382W,sce:YDR382W,RLA4_YEAST,S000002790,851990
YDL130W,sce:YDL130W,RLA3_YEAST,S000002288,851427
YFL039C,sce:YFL039C,ACT_YEAST,S000001855,850504
YCL040W,sce:YCL040W,HXKG_YEAST,S000000545,850317
YHR179W,sce:YHR179W,OYE2_YEAST,S000001222,856584
YPL075W,sce:YPL075W,GCR1_YEAST,S000005996,856030
YNL199C,sce:YNL199C,GCR2_YEAST,S000005143,855522
YPR048W,sce:YPR048W,NDOR1_YEAST,S000006252,856161
YLR321C,sce:YLR321C,SFH1_YEAST,S000004313,851032
YBR072W,sce:YBR072W,HSP26_YEAST,S000000276,852364
YGL073W,sce:YGL073W,HSF_YEAST,S000003041,852806
YBL069W,sce:YBL069W,AST1_YEAST,S000000165,852209
YNL189W,sce:YNL189W,IMA1_YEAST,S000005133,855532
YDL236W,sce:YDL236W,PNPP_YEAST,S000002395,851362
YPL111W,sce:YPL111W,ARGI_YEAST,S000006032,855993
YPR062W,sce:YPR062W,FCY1_YEAST,S000006266,856175
YLR319C,sce:YLR319C,BUD6_YEAST,S000004311,851029
YNL311C,sce:YNL311C,SKP2_YEAST,S000005255,855405
YKL001C,sce:YKL001C,KAPS_YEAST,S000001484,853869
YOL016C,sce:YOL016C,KCC2_YEAST,S000005376,854144
YBR109C,sce:YBR109C,CALM_YEAST,S000000313,852406
YJL036W,sce:YJL036W,SNX4_YEAST,S000003573,853416
YDL113C,sce:YDL113C,ATG20_YEAST,S000002271,851445
YEL041W,sce:YEL041W,YEF1_YEAST,S000000767,856670
YHR115C,sce:YHR115C,DMA1_YEAST,S000001157,856515
YNL167C,sce:YNL167C,SKO1_YEAST,S000005111,855554
YDL063C,sce:YDL063C,SYO1_YEAST,S000002221,851497
YPL131W,sce:YPL131W,RL5_YEAST,S000006052,855972
YGL161C,sce:YGL161C,YIP5_YEAST,S000003129,852715
YDR100W,sce:YDR100W,TVP15_YEAST,S000002507,851677
YMR183C,sce:YMR183C,SSO2_YEAST,S000004795,855221
YGR009C,sce:YGR009C,SEC9_YEAST,S000003241,852892
YMR291W,sce:YMR291W,TDA1_YEAST,S000004905,855336
YGR048W,sce:YGR048W,UFD1_YEAST,S000003280,852939
YPL222W,sce:YPL222W,FMP40_YEAST,S000006143,855879
YAL040C,sce:YAL040C,CG13_YEAST,S000000038,851191
YFR034C,sce:YFR034C,PHO4_YEAST,S000001930,850594
YFR037C,sce:YFR037C,RSC8_YEAST,S000001933,850598
YOR290C,sce:YOR290C,SNF2_YEAST,S000005816,854465
YER133W,sce:YER133W,PP12_YEAST,S000000935,856870
YOR178C,sce:YOR178C,GAC1_YEAST,S000005704,854350
YOR315W,sce:YOR315W,SFG1_YEAST,S000005842,854493
YMR311C,sce:YMR311C,GLC8_YEAST,S000004928,855359
YBR050C,sce:YBR050C,REG2_YEAST,S000000254,852340
YIL162W,sce:YIL162W,INV2_YEAST,S000001424,854644
YFL038C,sce:YFL038C,YPT1_YEAST,S000001856,850505
YOR355W,sce:YOR355W,GDS1_YEAST,S000005882,854537
YML074C,sce:YML074C,FKBP3_YEAST,S000004539,854901
YJL190C,sce:YJL190C,RS22A_YEAST,S000003726,853249
YMR058W,sce:YMR058W,FET3_YEAST,S000004662,855080
YER145C,sce:YER145C,FTR1_YEAST,S000000947,856888
YML123C,sce:YML123C,PHO84_YEAST,S000004592,854916
YPL031C,sce:YPL031C,PHO85_YEAST,S000005952,856076
YHR071W,sce:YHR071W,PCL5_YEAST,S000001113,856468
YML051W,sce:YML051W,GAL80_YEAST,S000004515,854954
YDR009W,sce:YDR009W,GAL3_YEAST,S000002416,851572
YLL019C,sce:YLL019C,KNS1_YEAST,S000003942,850641
YIL113W,sce:YIL113W,SDP1_YEAST,S000001375,854693
YML024W,sce:YML024W,RS17A_YEAST,S000004486,854984
YOR039W,sce:YOR039W,CSK2C_YEAST,S000005565,854204
YER111C,sce:YER111C,SWI4_YEAST,S000000913,856847
YDR146C,sce:YDR146C,SWI5_YEAST,S000002553,851724
YKL211C,sce:YKL211C,TRPG_YEAST,S000001694,853669
YER090W,sce:YER090W,TRPE_YEAST,S000000892,856824
YDR354W,sce:YDR354W,TRPD_YEAST,S000002762,851956
YNL113W,sce:YNL113W,RPAC2_YEAST,S000005057,855609
YPR110C,sce:YPR110C,RPAC1_YEAST,S000006314,856226
YER103W,sce:YER103W,HSP74_YEAST,S000000905,856840
YOL059W,sce:YOL059W,GPD2_YEAST,S000005420,854095
YER102W,sce:YER102W,RS8A_YEAST,S000000168,852206
YER102W,sce:YER102W,RS8A_YEAST,S000000168,856839
YER102W,sce:YER102W,RS8B_YEAST,S000000904,852206
YER102W,sce:YER102W,RS8B_YEAST,S000000904,856839
YOR362C,sce:YOR362C,PSA7_YEAST,S000005889,854544
YMR044W,sce:YMR044W,IOC4_YEAST,S000004647,855061
YOL149W,sce:YOL149W,DCP1_YEAST,S000005509,854016
YLR191W,sce:YLR191W,PEX13_YEAST,S000004181,850888
YGL153W,sce:YGL153W,PEX14_YEAST,S000003121,852724
YER110C,sce:YER110C,IMB4_YEAST,S000000912,856846
YML007W,sce:YML007W,YAP1_YEAST,S000004466,855005
YBR135W,sce:YBR135W,CKS1_YEAST,S000000339,852432
YNL214W,sce:YNL214W,PEX17_YEAST,S000005158,855507
YPR167C,sce:YPR167C,MET16_YEAST,S000006371,856296
YOR089C,sce:YOR089C,VPS21_YEAST,S000005615,854256
YNL117W,sce:YNL117W,MASY_YEAST,S000005061,855606
YLR175W,sce:YLR175W,CBF5_YEAST,S000004165,850872
YDR167W,sce:YDR167W,TAF10_YEAST,S000002574,851745
YLR432W,sce:YLR432W,IMDH3_YEAST,S000004424,851152
YDR244W,sce:YDR244W,PEX5_YEAST,S000002652,851831
YDR142C,sce:YDR142C,PEX7_YEAST,S000002549,851720
YDL078C,sce:YDL078C,MDHP_YEAST,S000002236,851481
YIL160C,sce:YIL160C,THIK_YEAST,S000001422,854646
YAR007C,sce:YAR007C,RFA1_YEAST,S000000065,851266
YKL161C,sce:YKL161C,KDX1_YEAST,S000001644,853696
YLR075W,sce:YLR075W,RL10_YEAST,S000004065,850764
YPR102C,sce:YPR102C,RL11A_YEAST,S000006306,856217
YPL240C,sce:YPL240C,HSP82_YEAST,S000006161,855836
YHR198C,sce:YHR198C,AIM18_YEAST,S000001241,856605
YLR284C,sce:YLR284C,ECI1_YEAST,S000004274,850990
YER052C,sce:YER052C,AK_YEAST,S000000854,856778
YNL135C,sce:YNL135C,FKBP_YEAST,S000005079,855587
YPR124W,sce:YPR124W,CTR1_YEAST,S000006328,856241
YHR053C,sce:YHR053C,MTCU1_YEAST,S000001095,856450
YHR053C,sce:YHR053C,MTCU1_YEAST,S000001095,856452
YHR055C,sce:YHR055C,MTCU1_YEAST,S000001095,856450
YHR055C,sce:YHR055C,MTCU1_YEAST,S000001095,856452
YHR053C,sce:YHR053C,MTCU2_YEAST,S000001097,856450
YHR053C,sce:YHR053C,MTCU2_YEAST,S000001097,856452
YHR055C,sce:YHR055C,MTCU2_YEAST,S000001097,856450
YHR055C,sce:YHR055C,MTCU2_YEAST,S000001097,856452
YGL134W,sce:YGL134W,PCL10_YEAST,S000003102,852743
YLR258W,sce:YLR258W,GYS2_YEAST,S000004248,850962
YJL194W,sce:YJL194W,CDC6_YEAST,S000003730,853244
YBL026W,sce:YBL026W,LSM2_YEAST,S000000122,852255
YBL050W,sce:YBL050W,SEC17_YEAST,S000000146,852230
YHR084W,sce:YHR084W,STE12_YEAST,S000001126,856484
YBR274W,sce:YBR274W,CHK1_YEAST,S000000478,852577
YMR255W,sce:YMR255W,GFD1_YEAST,S000004868,855297
YLR452C,sce:YLR452C,SST2_YEAST,S000004444,851173
YHR005C,sce:YHR005C,GPA1_YEAST,S000001047,856394
YDR299W,sce:YDR299W,BFR2_YEAST,S000002707,851893
YIL074C,sce:YIL074C,SER33_YEAST,S000001336,854736
YOR120W,sce:YOR120W,GCY1_YEAST,S000005646,854287
YPR041W,sce:YPR041W,IF5_YEAST,S000006245,856154
YIL045W,sce:YIL045W,PIG2_YEAST,S000001307,854766
YDL215C,sce:YDL215C,DHE2_YEAST,S000002374,851311
YER079W,sce:YER079W,YEQ9_YEAST,S000000881,856812
YDL030W,sce:YDL030W,PRP9_YEAST,S000002188,851531
YMR005W,sce:YMR005W,TAF4_YEAST,S000004607,855017
YER124C,sce:YER124C,DSE1_YEAST,S000000926,856861
YGR085C,sce:YGR085C,RL11B_YEAST,S000003317,852976
