,alias,annotation.DB_Object_Name,annotation.GO BIOLOGICAL_PROCESS,annotation.GO CELLULAR_COMPONENT,annotation.GO MOLECULAR_FUNCTION,label,kegg,uniprot,sgd,entrez
YAL003W,"translation elongation factor EF-1beta, EF-1 beta, EFB1, S000000003, TEF5","EF-1 beta, translation elongation factor EF-1beta",translational elongation,"eukaryotic translation elongation factor 1 complex, ribosome",translation elongation factor activity,EF1B,sce:YAL003W,EF1B_YEAST,S000000003,851260
YAL030W,"S000000028, SNC1",,"Golgi to plasma membrane transport, endocytosis, vesicle fusion","Golgi trans face, SNARE complex, endosome, transport vesicle",v-SNARE activity,SNC1,sce:YAL030W,SNC1_YEAST,S000000028,851203
YAL038W,"CDC19, PYK1, S000000036, pyruvate kinase",pyruvate kinase,"glycolysis, pyruvate metabolic process",cytosol,pyruvate kinase activity,KPYK1,sce:YAL038W,KPYK1_YEAST,S000000036,851193
YAL040C,"CLN3, DAF1, FUN10, G1 cyclin, S000000038, WHI1",G1 cyclin,"G1/S transition of mitotic cell cycle, regulation of cell size, regulation of cyclin-dependent protein kinase activity, vacuole fusion, non-autophagic, vacuole organization and biogenesis",nucleus,cyclin-dependent protein kinase regulator activity,CG13,sce:YAL040C,CG13_YEAST,S000000038,851191
YAR007C,"heterotrimeric RPA (RF-A) single-stranded DNA binding protein 69 kDa subunit, BUF2, FUN3, RF-A, RFA1, RPA1, S000000065","RF-A, heterotrimeric RPA (RF-A) single-stranded DNA binding protein 69 kDa subunit","DNA recombination, DNA replication, synthesis of RNA primer, DNA strand elongation during DNA replication, DNA unwinding during replication, double-strand break repair via homologous recombination, nucleotide-excision repair, postreplication repair","DNA replication factor A complex, chromosome, telomeric region, cytoplasm, nucleus","damaged DNA binding, single-stranded DNA binding",RFA1,sce:YAR007C,RFA1_YEAST,S000000065,851266
YBL005W,"AMY2, PDR3, S000000101, TPE2",,"positive regulation of transcription, DNA-dependent, regulation of transcription from RNA polymerase II promoter, response to drug","cytoplasm, nucleus","DNA binding, transcriptional activator activity",PDR3,sce:YBL005W,PDR3_YEAST,S000000101,852278
YBL021C,"HAP3, S000000117, transcriptional activator protein of CYC1 (component of HAP2/HAP3 heteromer)",transcriptional activator protein of CYC1 (component of HAP2/HAP3 heteromer),"regulation of carbohydrate metabolic process, transcription","CCAAT-binding factor complex, nucleus",transcriptional activator activity,HAP3,sce:YBL021C,HAP3_YEAST,S000000117,852260
YBL026W,"Sm class, LSM2, S000000122, SMX5, SNP3, snRNA-associated protein","snRNA-associated protein, Sm class","mRNA catabolic process, nuclear mRNA splicing, via spliceosome","U4/U6 x U5 tri-snRNP complex, nucleolus, small nucleolar ribonucleoprotein complex, snRNP U6","RNA binding, RNA splicing factor activity, transesterification mechanism",LSM2,sce:YBL026W,LSM2_YEAST,S000000122,852255
YBL050W,"S000000146, SEC17",,"ER to Golgi vesicle-mediated transport, vacuole fusion, non-autophagic",peripheral to membrane of membrane fraction,soluble NSF attachment protein activity,SEC17,sce:YBL050W,SEC17_YEAST,S000000146,852230
YBL069W,"AST1, S000000165",,protein targeting to membrane,extrinsic to membrane,molecular_function,AST1,sce:YBL069W,AST1_YEAST,S000000165,852209
YBL079W,"NLE3, NUP170, S000000175, nuclear pore complex subunit",nuclear pore complex subunit,"NLS-bearing substrate import into nucleus, chromosome segregation, mRNA export from nucleus, mRNA-binding (hnRNP) protein import into nucleus, nuclear pore organization and biogenesis, protein export from nucleus, protein import into nucleus, docking, rRNA export from nucleus, ribosomal protein import into nucleus, snRNA export from nucleus, snRNP protein import into nucleus, tRNA export from nucleus",nuclear pore,structural molecule activity,NU170,sce:YBL079W,NU170_YEAST,S000000175,852199
YBR018C,"GAL7, S000000222, galactose-1-phosphate uridyl transferase",galactose-1-phosphate uridyl transferase,galactose catabolic process,cytoplasm,UTP:galactose-1-phosphate uridylyltransferase activity,GAL7,sce:YBR018C,GAL7_YEAST,S000000222,852306
YBR019C,"GAL10, S000000223, UDP-glucose 4-epimerase",UDP-glucose 4-epimerase,galactose catabolic process,soluble fraction,"UDP-glucose 4-epimerase activity, aldose 1-epimerase activity",GAL10,sce:YBR019C,GAL10_YEAST,S000000223,852307
YBR020W,"GAL1, S000000224, galactokinase",galactokinase,"galactose catabolic process, galactose transport, positive regulation of transcription by galactose",cytoplasm,"galactokinase activity, transcription regulator activity",GAL1,sce:YBR020W,GAL1_YEAST,S000000224,852308
YBR043C,"AQR2, QDR3, S000000247",,multidrug transport,"integral to plasma membrane, plasma membrane",multidrug efflux pump activity,QDR3,sce:YBR043C,QDR3_YEAST,S000000247,852331
YBR045C,"GIP1, Glc7p regulatory subunit, S000000249",Glc7p regulatory subunit,"regulation of phosphoprotein phosphatase activity, spore wall assembly (sensu the Fungi research community)","prospore membrane, protein phosphatase type 1 complex","protein phosphatase 1 binding, protein phosphatase type 1 regulator activity",GIP1,sce:YBR045C,GIP1_YEAST,S000000249,852334
YBR050C,"Glc7p regulatory subunit, REG2, S000000254",Glc7p regulatory subunit,negative regulation of transcription from RNA polymerase II promoter,protein phosphatase type 1 complex,protein phosphatase type 1 regulator activity,REG2,sce:YBR050C,REG2_YEAST,S000000254,852340
YBR072W,"HSP26, S000000276",,"protein folding, response to stress","cytoplasm, nucleus",unfolded protein binding,HSP26,sce:YBR072W,HSP26_YEAST,S000000276,852364
YBR093C,"PHO5, S000000297, acid phosphatase",acid phosphatase,"cellular response to phosphate starvation, phosphate metabolic process, regulation of cell size","cell wall (sensu the Fungi research community), periplasmic space (sensu the Fungi research community)","acid phosphatase activity, nucleoside-triphosphatase activity, nucleoside-triphosphate diphosphatase activity",PPA5,sce:YBR093C,PPA5_YEAST,S000000297,852390
YBR109C,"CMD1, S000000313, calmodulin",calmodulin,"cell budding, cytoskeleton organization and biogenesis, endocytosis, mitosis, vacuole fusion, non-autophagic","bud neck, bud tip, central plaque of spindle pole body, cytoplasm, incipient bud site, mating projection tip","calcium ion binding, calcium-dependent protein binding, protein binding",CALM,sce:YBR109C,CALM_YEAST,S000000313,852406
YBR112C,"CRT8, CYC8, S000000316, SSN6",,"chromatin remodeling, negative regulation of transcription, nucleosome spacing, telomere maintenance",nucleus,"general transcriptional repressor activity, transcription coactivator activity",CYC8,sce:YBR112C,CYC8_YEAST,S000000316,852410
YBR118W," translational elongation factor EF-1 alpha, EF-1 alpha, S000000322, TEF2, eEF1A","eEF1A, translational elongation factor EF-1 alpha",translational elongation,"eukaryotic translation elongation factor 1 complex, ribosome",translation elongation factor activity,EF1A,sce:YBR118W,EF1A_YEAST,S000000322,852415
YBR118W," translational elongation factor EF-1 alpha, EF-1 alpha, S000000322, TEF2, eEF1A","eEF1A, translational elongation factor EF-1 alpha",translational elongation,"eukaryotic translation elongation factor 1 complex, ribosome",translation elongation factor activity,EF1A,sce:YBR118W,EF1A_YEAST,S000000322,856195
YBR118W," translational elongation factor EF-1 alpha, EF-1 alpha, S000000322, TEF2, eEF1A","eEF1A, translational elongation factor EF-1 alpha",translational elongation,"eukaryotic translation elongation factor 1 complex, ribosome",translation elongation factor activity,EF1A,sce:YBR118W,EF1A_YEAST,S000006284,852415
YBR118W," translational elongation factor EF-1 alpha, EF-1 alpha, S000000322, TEF2, eEF1A","eEF1A, translational elongation factor EF-1 alpha",translational elongation,"eukaryotic translation elongation factor 1 complex, ribosome",translation elongation factor activity,EF1A,sce:YBR118W,EF1A_YEAST,S000006284,856195
YBR135W,"CKS1, Cdc28 protein kinase subunit, S000000339",Cdc28 protein kinase subunit,"regulation of progression through cell cycle, transcription","cytoplasm, nucleus",protein kinase activator activity,CKS1,sce:YBR135W,CKS1_YEAST,S000000339,852432
YBR155W,"CNS1, S000000359",,protein folding,cytoplasm,"Hsp70 protein binding, Hsp90 protein binding",CNS1,sce:YBR155W,CNS1_YEAST,S000000359,852452
